"FDAapprovedDrugs","silver(1+) ion 4-{[(pyrimidin-2-yl)azanidyl]sulfonyl}aniline,[Ag+].NC1=CC=C(C=C1)S(=O)(=O)[N-]C1=NC=CC=N1"
"FDAapprovedDrugs","1-[(2R,5S)-5-(hydroxymethyl)-2,5-dihydrofuran-2-yl]-5-methyl-1,2,3,4-tetrahydropyrimidine-2,4-dione","CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O"
"FDAapprovedDrugs","1-[(2R,4S,5S)-4-azido-5-(hydroxymethyl)oxolan-2-yl]-5-methyl-1,2,3,4-tetrahydropyrimidine-2,4-dione","CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O"
"FDAapprovedDrugs","4-methyl-N-[3-(4-methyl-1H-imidazol-1-yl)-5-(trifluoromethyl)phenyl]-3-{[4-(pyridin-3-yl)pyrimidin-2-yl]amino}benzamide,CC1=CN(C=N1)C1=CC(=CC(NC(=O)C2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)=C1)C(F)(F)F"
"FDAapprovedDrugs","N-[2-(4-{[(cyclohexylcarbamoyl)amino]sulfonyl}phenyl)ethyl]-5-methylpyrazine-2-carboxamide,CC1=CN=C(C=N1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1"
"FDAapprovedDrugs","4-methyl-1H-pyrazole,CC1=CNN=C1"
"FDAapprovedDrugs","2,4-dimethyl-8-({4-[2-(2H-1,2,3,4-tetrazol-5-yl)phenyl]phenyl}methyl)-5H,6H,7H,8H-pyrido[2,3-d]pyrimidin-7-one","CC1=NC(C)=C2CCC(=O)N(CC3=CC=C(C=C3)C3=CC=CC=C3C3=NNN=N3)C2=N1"
"FDAapprovedDrugs","N-(2-chloro-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide","CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1"
"FDAapprovedDrugs","4-amino-N-(4-methylpyrimidin-2-yl)benzene-1-sulfonamide,CC1=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=NC=C1"
"FDAapprovedDrugs","5-chloro-3-(4-methanesulfonylphenyl)-2-(6-methylpyridin-3-yl)pyridine,CC1=NC=C(C=C1)C1=C(C=C(Cl)C=N1)C1=CC=C(C=C1)S(C)(=O)=O"
"FDAapprovedDrugs","3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carbaldehyde,CC1=NC=C(CO)C(C=O)=C1O"
"FDAapprovedDrugs","4,5-bis(hydroxymethyl)-2-methylpyridin-3-ol","CC1=NC=C(CO)C(CO)=C1O"
"FDAapprovedDrugs","2-(2-methyl-5-nitro-1H-imidazol-1-yl)ethan-1-ol,CC1=NC=C(N1CCO)[N+]([O-])=O"
"FDAapprovedDrugs","12-chloro-9-(2-fluorophenyl)-3-methyl-2,4,8-triazatricyclo[8.4.0.0^{2,6}]tetradeca-1(10),3,5,8,11,13-hexaene","CC1=NC=C2CN=C(C3=CC=CC=C3F)C3=C(C=CC(Cl)=C3)N12"
"FDAapprovedDrugs","N-[4-({4-methyl-3,5,9-triazatricyclo[8.4.0.0^{2,6}]tetradeca-1(10),2(6),3,11,13-pentaen-9-yl}carbonyl)phenyl]-2-phenylbenzamide","CC1=NC2=C(CCN(C(=O)C3=CC=C(NC(=O)C4=CC=CC=C4C4=CC=CC=C4)C=C3)C3=CC=CC=C23)N1"
"FDAapprovedDrugs","4-amino-N-(5-methyl-1,3,4-thiadiazol-2-yl)benzene-1-sulfonamide","CC1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1"
"FDAapprovedDrugs","12-chloro-3-methyl-9-phenyl-2,4,5,8-tetraazatricyclo[8.4.0.0^{2,6}]tetradeca-1(10),3,5,8,11,13-hexaene","CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12"
"FDAapprovedDrugs","12-chloro-9-(2-chlorophenyl)-3-methyl-2,4,5,8-tetraazatricyclo[8.4.0.0^{2,6}]tetradeca-1(10),3,5,8,11,13-hexaene","CC1=NN=C2CN=C(C3=CC=CC=C3Cl)C3=C(C=CC(Cl)=C3)N12"
"FDAapprovedDrugs","N-(4-chloro-3-methyl-1,2-oxazol-5-yl)-2-[2-(6-methyl-2H-1,3-benzodioxol-5-yl)acetyl]thiophene-3-sulfonamide","CC1=NOC(NS(=O)(=O)C2=C(SC=C2)C(=O)CC2=CC3=C(OCO3)C=C2C)=C1Cl"
"FDAapprovedDrugs","4-amino-N-(dimethyl-1,2-oxazol-5-yl)benzene-1-sulfonamide","CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C"
"FDAapprovedDrugs","7-chloro-3-methyl-4H-1$l^{6},2,4-benzothiadiazine-1,1-dione","CC1=NS(=O)(=O)C2=C(N1)C=CC(Cl)=C2"
"FDAapprovedDrugs","3,5-dimethyladamantan-1-amine","CC12CC3CC(C)(C1)CC(N)(C3)C2"
"FDAapprovedDrugs","3,4-dimethyl-2-phenylmorpholine","CC1C(OCCN1C)C1=CC=CC=C1"
"FDAapprovedDrugs","3,3,5-trimethylcyclohexyl 2-hydroxy-2-phenylacetate","CC1CC(CC(C)(C)C1)OC(=O)C(O)C1=CC=CC=C1"
"FDAapprovedDrugs","4-chloro-N-(2-methyl-2,3-dihydro-1H-indol-1-yl)-3-sulfamoylbenzamide","CC1CC2=CC=CC=C2N1NC(=O)C1=CC(=C(Cl)C=C1)S(N)(=O)=O"
"FDAapprovedDrugs","1-cyclopropyl-6-fluoro-5-methyl-7-(3-methylpiperazin-1-yl)-4-oxo-1,4-dihydroquinoline-3-carboxylic acid","CC1CN(CCN1)C1=C(F)C(C)=C2C(=O)C(=CN(C3CC3)C2=C1)C(O)=O"
"FDAapprovedDrugs","7-fluoro-2-methyl-6-(4-methylpiperazin-1-yl)-10-oxo-4-oxa-1-azatricyclo[7.3.1.0^{5,13}]trideca-5(13),6,8,11-tetraene-11-carboxylic acid","CC1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1"
"FDAapprovedDrugs","7-chloro-2-methyl-3-(2-methylphenyl)-4-oxo-1,2,3,4-tetrahydroquinazoline-6-sulfonamide","CC1NC2=CC(Cl)=C(C=C2C(=O)N1C1=CC=CC=C1C)S(N)(=O)=O"
"FDAapprovedDrugs","3-methyl-2-phenylmorpholine,CC1NCCOC1C1=CC=CC=C1"
"FDAapprovedDrugs","(2R)-5'-methyl-4-azaspiro[bicyclo[2.2.2]octane-2,2'-[1,4]oxathiolane]","CC1O[C@@]2(CS1)CN1CCC2CC1"
"FDAapprovedDrugs","4-[4-(4-hydroxyphenyl)hex-3-en-3-yl]phenol,CCC(=C(CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1"
"FDAapprovedDrugs","2-[2,3-dichloro-4-(2-methylidenebutanoyl)phenoxy]acetic acid","CCC(=C)C(=O)C1=C(Cl)C(Cl)=C(OCC(O)=O)C=C1"
"FDAapprovedDrugs","(2R,13R,14S,15S,17S)-17-hydroxy-2,13,14,15-tetramethyl-14-propanoyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-3,6-dien-5-one","CCC(=O)[C@@]1(C)[C@H](C)CC2C3CCC4=CC(=O)C=C[C@]4(C)C3[C@@H](O)C[C@]12C"
"FDAapprovedDrugs","6-(dimethylamino)-4,4-diphenylheptan-3-one","CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1"
"FDAapprovedDrugs","1-(10-{2-[4-(2-hydroxyethyl)piperazin-1-yl]ethyl}-10H-phenothiazin-2-yl)propan-1-one,CCC(=O)C1=CC2=C(SC3=C(C=CC=C3)N2CCN2CCN(CCO)CC2)C=C1"
"FDAapprovedDrugs","1-{10-[2-(dimethylamino)propyl]-10H-phenothiazin-2-yl}propan-1-one,CCC(=O)C1=CC2=C(SC3=CC=CC=C3N2CC(C)N(C)C)C=C1"
"FDAapprovedDrugs","methyl 1-(3-methoxy-3-oxopropyl)-4-(N-phenylpropanamido)piperidine-4-carboxylate,CCC(=O)N(C1=CC=CC=C1)C1(CCN(CCC(=O)OC)CC1)C(=O)OC"
"FDAapprovedDrugs","N-[4-(methoxymethyl)-1-[2-(thiophen-2-yl)ethyl]piperidin-4-yl]-N-phenylpropanamide,CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1"
"FDAapprovedDrugs","N-phenyl-N-[1-(2-phenylethyl)piperidin-4-yl]propanamide,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1"
"FDAapprovedDrugs","N-{2-[(8S)-1H,2H,6H,7H,8H-indeno[5,4-b]furan-8-yl]ethyl}propanamide","CCC(=O)NCC[C@@H]1CCC2=C1C1=C(OCC1)C=C2"
"FDAapprovedDrugs","(3R)-4-(dimethylamino)-3-methyl-1,2-diphenylbutan-2-yl propanoate","CCC(=O)OC(CC1=CC=CC=C1)([C@H](C)CN(C)C)C1=CC=CC=C1"
"FDAapprovedDrugs","(2S,4S)-4-cyclohexyl-1-(2-{[2-methyl-1-(propanoyloxy)propoxy](4-phenylbutyl)phosphoryl}acetyl)pyrrolidine-2-carboxylic acid","CCC(=O)OC(OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N1C[C@@H](C[C@H]1C(O)=O)C1CCCCC1)C(C)C"
"FDAapprovedDrugs","5-(butan-2-yl)-5-ethyl-1,3-diazinane-2,4,6-trione","CCC(C)C1(CC)C(=O)NC(=O)NC1=O"
"FDAapprovedDrugs","5-(butan-2-yl)-1,3-dimethyl-5-(prop-2-en-1-yl)-1,3-diazinane-2,4,6-trione","CCC(C)C1(CC=C)C(=O)N(C)C(=O)N(C)C1=O"
"FDAapprovedDrugs","N-[(3S,6S,9S,11R,15S,18S,20R,21S,24S,25S)-3-[(1R)-3-amino-1-hydroxypropyl]-21-[(2-aminoethyl)amino]-6-[(1S,2S)-1,2-dihydroxy-2-(4-hydroxyphenyl)ethyl]-11,20,25-trihydroxy-15-[(1R)-1-hydroxyethyl]-2,5,8,14,17,23-hexaoxo-1,4,7,13,16,22-hexaazatricyclo[22.3.0.0^{9,13}]heptacosan-18-yl]-10,12-dimethyltetradecanamide","CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC1=O)[C@@H](C)O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@H](O)CCN"
"FDAapprovedDrugs","N-[3-amino-1-({1-[(3-amino-1-{[6,9,18-tris(2-aminoethyl)-15-benzyl-3-(1-hydroxyethyl)-12-(2-methylpropyl)-2,5,8,11,14,17,20-heptaoxo-1,4,7,10,13,16,19-heptaazacyclotricosan-21-yl]carbamoyl}propyl)carbamoyl]-2-hydroxypropyl}carbamoyl)propyl]-6-methyloctanamide","CCC(C)CCCCC(=O)NC(CCN)C(=O)NC(C(C)O)C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(NC(=O)C(CCN)NC(=O)C(CCN)NC(=O)C(CC(C)C)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CCN)NC1=O)C(C)O"
"FDAapprovedDrugs","[(3-{3-hydroxy-2-[2-(6-methyloctanamido)-4-[(sulfonatomethyl)amino]butanamido]butanamido}-3-{[3-(1-hydroxyethyl)-12,15-bis(2-methylpropyl)-2,5,8,11,14,17,20-heptaoxo-6,9,18-tris({2-[(sulfonatomethyl)amino]ethyl})-1,4,7,10,13,16,19-heptaazacyclotricosan-21-yl]carbamoyl}propyl)amino]methanesulfonate","CCC(C)CCCCC(=O)NC(CCNCS([O-])(=O)=O)C(=O)NC(C(C)O)C(=O)NC(CCNCS([O-])(=O)=O)C(=O)NC1CCNC(=O)C(NC(=O)C(CCNCS([O-])(=O)=O)NC(=O)C(CCNCS([O-])(=O)=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCNCS([O-])(=O)=O)NC1=O)C(C)O"
"FDAapprovedDrugs","1-(butan-2-yl)-4-{4-[4-(4-{[(2R,4S)-2-(2,4-dichlorophenyl)-2-(1H-1,2,4-triazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy}phenyl)piperazin-1-yl]phenyl}-4,5-dihydro-1H-1,2,4-triazol-5-one","CCC(C)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1"
"FDAapprovedDrugs","4-hydroxy-3-(1-phenylpropyl)-2H-chromen-2-one,CCC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2"
"FDAapprovedDrugs","3-({3-[(E)-2-(4-cyclobutyl-1,3-thiazol-2-yl)ethenyl]phenyl}carbamoyl)-2,2-diethylpropanoic acid","CCC(CC)(CC(=O)NC1=CC=CC(\C=C\C2=NC(=CS2)C2CCC2)=C1)C(O)=O"
"FDAapprovedDrugs","4-{1-hydroxy-2-[(propan-2-yl)amino]butyl}benzene-1,2-diol","CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1"
"FDAapprovedDrugs","6-(dimethylamino)-4,4-diphenylheptan-3-yl acetate","CCC(OC(C)=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1"
"FDAapprovedDrugs","N-{3-[(1R)-1-[(2R)-6-hydroxy-4-oxo-2-(2-phenylethyl)-2-propyl-3,4-dihydro-2H-pyran-5-yl]propyl]phenyl}-5-(trifluoromethyl)pyridine-2-sulfonamide","CCC[C@@]1(CCC2=CC=CC=C2)CC(=O)C([C@H](CC)C2=CC(NS(=O)(=O)C3=NC=C(C=C3)C(F)(F)F)=CC=C2)=C(O)O1"
"FDAapprovedDrugs","(2S,4R)-N-{2-chloro-1-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(methylsulfanyl)oxan-2-yl]propyl}-1-methyl-4-propylpyrrolidine-2-carboxamide","CCC[C@@H]1C[C@H](N(C)C1)C(=O)NC(C(C)Cl)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O"
"FDAapprovedDrugs","5-(hex-3-yn-2-yl)-1-methyl-5-(prop-2-en-1-yl)-1,3-diazinane-2,4,6-trione","CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O"
"FDAapprovedDrugs","5-ethyl-1-methyl-5-phenyl-1,3-diazinane-2,4,6-trione","CCC1(C(=O)NC(=O)N(C)C1=O)C1=CC=CC=C1"
"FDAapprovedDrugs","5-ethyl-5-phenyl-1,3-diazinane-2,4,6-trione","CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1"
"FDAapprovedDrugs","5-ethyl-5-phenyl-1,3-diazinane-2,4,6-trione; {5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl}(6-methoxyquinolin-4-yl)methanol","CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1.COC1=CC2=C(C=CN=C2C=C1)C(O)C1CC2CCN1CC2C=C"
"FDAapprovedDrugs","5-(cyclohept-1-en-1-yl)-5-ethyl-1,3-diazinane-2,4,6-trione","CCC1(C(=O)NC(=O)NC1=O)C1=CCCCCC1"
"FDAapprovedDrugs","5-ethyl-5-phenyl-1,3-diazinane-4,6-dione","CCC1(C(=O)NCNC1=O)C1=CC=CC=C1"
"FDAapprovedDrugs","3-ethyl-3-methylpyrrolidine-2,5-dione","CCC1(C)CC(=O)NC1=O"
"FDAapprovedDrugs","5-ethyl-3,5-dimethyl-1,3-oxazolidine-2,4-dione","CCC1(C)OC(=O)N(C)C1=O"
"FDAapprovedDrugs","5,5-diethyl-1-methyl-1,3-diazinane-2,4,6-trione","CCC1(CC)C(=O)NC(=O)N(C)C1=O"
"FDAapprovedDrugs","3,3-diethyl-5-methylpiperidine-2,4-dione","CCC1(CC)C(=O)NCC(C)C1=O"
"FDAapprovedDrugs","3-(4-aminophenyl)-3-ethylpiperidine-2,6-dione","CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1"
"FDAapprovedDrugs","3-ethyl-3-phenylpiperidine-2,6-dione","CCC1(CCC(=O)NC1=O)C1=CC=CC=C1"
"FDAapprovedDrugs","5-ethyl-5-(3-methylbutyl)-1,3-diazinane-2,4,6-trione","CCC1(CCC(C)C)C(=O)NC(=O)NC1=O"
"FDAapprovedDrugs","5-ethyl-3-methyl-5-phenylimidazolidine-2,4-dione","CCC1(NC(=O)N(C)C1=O)C1=CC=CC=C1"
"FDAapprovedDrugs","5-(4-chlorophenyl)-6-ethylpyrimidine-2,4-diamine","CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1"
"FDAapprovedDrugs","3-ethyl-4-methyl-N-{2-[4-({[(4-methylcyclohexyl)carbamoyl]amino}sulfonyl)phenyl]ethyl}-2-oxo-2,5-dihydro-1H-pyrrole-1-carboxamide","CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC2CCC(C)CC2)C1=O"
"FDAapprovedDrugs","3-ethyl-2-methyl-5-(morpholin-4-ylmethyl)-4,5,6,7-tetrahydro-1H-indol-4-one","CCC1=C(C)NC2=C1C(=O)C(CN1CCOCC1)CC2"
"FDAapprovedDrugs","5-[(1R)-2-[(5,6-diethyl-2,3-dihydro-1H-inden-2-yl)amino]-1-hydroxyethyl]-8-hydroxy-1,2-dihydroquinolin-2-one","CCC1=C(CC)C=C2CC(CC2=C1)NC[C@H](O)C1=C2C=CC(=O)NC2=C(O)C=C1"
"FDAapprovedDrugs","(19S)-10,19-diethyl-19-hydroxy-14,18-dioxo-17-oxa-3,13-diazapentacyclo[11.8.0.0^{2,11}.0^{4,9}.0^{15,20}]henicosa-1(21),2(11),3,5,7,9,15(20)-heptaen-7-yl 4-(piperidin-1-yl)piperidine-1-carboxylate","CCC1=C2CN3C(=CC4=C(COC(=O)[C@]4(O)CC)C3=O)C2=NC2=C1C=C(OC(=O)N1CCC(CC1)N1CCCCC1)C=C2"
"FDAapprovedDrugs","2-{1,8-diethyl-1H,3H,4H,9H-pyrano[3,4-b]indol-1-yl}acetic acid","CCC1=C2NC3=C(CCOC3(CC)CC(O)=O)C2=CC=C1"
"FDAapprovedDrugs","5-(2-chlorophenyl)-7-ethyl-1-methyl-1H,2H,3H-thieno[2,3-e][1,4]diazepin-2-one","CCC1=CC2=C(S1)N(C)C(=O)CN=C2C1=CC=CC=C1Cl"
"FDAapprovedDrugs","5-({4-[2-(5-ethylpyridin-2-yl)ethoxy]phenyl}methyl)-1,3-thiazolidine-2,4-dione","CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1"
"FDAapprovedDrugs","1-({3-bromo-2-[2-(trifluoromethane)sulfonamidophenyl]-1-benzofuran-5-yl}methyl)-4-cyclopropyl-2-ethyl-1H-imidazole-5-carboxamide,CCC1=NC(C2CC2)=C(N1CC1=CC2=C(OC(=C2Br)C2=CC=CC=C2NS(=O)(=O)C(F)(F)F)C=C1)C(N)=O"
"FDAapprovedDrugs","2-ethylpyridine-4-carbothioamide,CCC1=NC=CC(=C1)C(N)=S"
"FDAapprovedDrugs","1-{3-[4-(3-chlorophenyl)piperazin-1-yl]propyl}-3-ethyl-4-(2-phenoxyethyl)-4,5-dihydro-1H-1,2,4-triazol-5-one","CCC1=NN(CCCN2CCN(CC2)C2=CC(Cl)=CC=C2)C(=O)N1CCOC1=CC=CC=C1"
"FDAapprovedDrugs","15-ethyl-14-ethynyl-5-(hydroxyimino)tetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-6-en-14-ol","CCC12CCC3C(CCC4=CC(CCC34)=NO)C1CCC2(O)C#C"
"FDAapprovedDrugs","1-(3,4-dimethoxyphenyl)-5-ethyl-7,8-dimethoxy-4-methyl-5H-2,3-benzodiazepine","CCC1C2=CC(OC)=C(OC)C=C2C(=NN=C1C)C1=CC(OC)=C(OC)C=C1"
"FDAapprovedDrugs","30-ethyl-33-[(4E)-1-hydroxy-2-methylhex-4-en-1-yl]-1,4,7,10,12,15,19,25,28-nonamethyl-6,9,18,24-tetrakis(2-methylpropyl)-3,21-bis(propan-2-yl)-1,4,7,10,13,16,19,22,25,28,31-undecaazacyclotritriacontan-2,5,8,11,14,17,20,23,26,29,32-undecone","CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C"
"FDAapprovedDrugs","7-chloro-2-ethyl-4-oxo-1,2,3,4-tetrahydroquinazoline-6-sulfonamide","CCC1NC(=O)C2=CC(=C(Cl)C=C2N1)S(N)(=O)=O"
"FDAapprovedDrugs","N-(3-acetyl-4-{2-hydroxy-3-[(propan-2-yl)amino]propoxy}phenyl)butanamide,CCCC(=O)NC1=CC(C(C)=O)=C(OCC(O)CNC(C)C)C=C1"
"FDAapprovedDrugs","(2S)-2-amino-3-({[(2R)-2-(butanoyloxy)-3-(propanoyloxy)propoxy](hydroxy)phosphoryl}oxy)propanoic acid,CCCC(=O)O[C@H](COC(=O)CC)COP(O)(=O)OC[C@H](N)C(O)=O"
"FDAapprovedDrugs","methyl 5-{[(butanoyloxy)methoxy]carbonyl}-4-(2,3-dichlorophenyl)-2,6-dimethyl-1,4-dihydropyridine-3-carboxylate","CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(Cl)=C1Cl)C(=O)OC"
"FDAapprovedDrugs","2-methyl-2-({[(propan-2-yl)carbamoyl]oxy}methyl)pentyl carbamate,CCCC(C)(COC(N)=O)COC(=O)NC(C)C"
"FDAapprovedDrugs","2-[(carbamoyloxy)methyl]-2-methylpentyl carbamate,CCCC(C)(COC(N)=O)COC(N)=O"
"FDAapprovedDrugs","5-ethyl-5-(pentan-2-yl)-1,3-diazinane-2,4,6-trione","CCCC(C)C1(CC)C(=O)NC(=O)NC1=O"
"FDAapprovedDrugs","5-ethyl-5-(pentan-2-yl)-2-sulfanylidene-1,3-diazinane-4,6-dione","CCCC(C)C1(CC)C(=O)NC(=S)NC1=O"
"FDAapprovedDrugs","5-(pentan-2-yl)-5-(prop-2-en-1-yl)-1,3-diazinane-2,4,6-trione","CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O"
"FDAapprovedDrugs","5-(pentan-2-yl)-5-(prop-2-en-1-yl)-2-sulfanylidene-1,3-diazinane-4,6-dione","CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O"
"FDAapprovedDrugs","2-propylpentanoic acid,CCCC(CCC)C(O)=O"
"FDAapprovedDrugs","9-ethyl-4,6-dioxo-10-propyl-4H,6H,9H-chromeno[7,6-b]pyridine-2,8-dicarboxylic acid","CCCC1=C2N(CC)C(=CC(=O)C2=CC2=C1OC(=CC2=O)C(O)=O)C(O)=O"
"FDAapprovedDrugs","6-propyl-2-sulfanylidene-1,2,3,4-tetrahydropyrimidin-4-one","CCCC1=CC(=O)NC(=S)N1"
"FDAapprovedDrugs","4-(2-hydroxypropan-2-yl)-2-propyl-1-({4-[2-(1H-1,2,3,4-tetrazol-5-yl)phenyl]phenyl}methyl)-1H-imidazole-5-carboxylic acid","CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O"
"FDAapprovedDrugs","2-[2-ethoxy-5-(4-ethylpiperazine-1-sulfonyl)phenyl]-5-methyl-7-propyl-1H,4H-imidazo[4,3-f][1,2,4]triazin-4-one","CCCC1=NC(C)=C2N1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(CC)CC1"
"FDAapprovedDrugs","2-(4-{[4-methyl-6-(1-methyl-1H-1,3-benzodiazol-2-yl)-2-propyl-1H-1,3-benzodiazol-1-yl]methyl}phenyl)benzoic acid","CCCC1=NC2=C(C=C(C=C2C)C2=NC3=CC=CC=C3N2C)N1CC1=CC=C(C=C1)C1=CC=CC=C1C(O)=O"
"FDAapprovedDrugs","5-[2-ethoxy-5-(4-methylpiperazine-1-sulfonyl)phenyl]-1-methyl-3-propyl-1H,4H,7H-pyrazolo[4,3-d]pyrimidin-7-one","CCCC1=NN(C)C2=C1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(C)CC1"
"FDAapprovedDrugs","(2S)-3-methyl-2-[N-({4-[2-(2H-1,2,3,4-tetrazol-5-yl)phenyl]phenyl}methyl)pentanamido]butanoic acid","CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O"
"FDAapprovedDrugs","2-oxo-2-[(2S,4S)-2,5,12-trihydroxy-4-{[5-hydroxy-6-methyl-4-(trifluoroacetamido)oxan-2-yl]oxy}-7-methoxy-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracen-2-yl]ethyl pentanoate","CCCCC(=O)OCC(=O)[C@@]1(O)C[C@H](OC2CC(NC(=O)C(F)(F)F)C(O)C(C)O2)C2=C(C1)C(O)=C1C(=O)C3=C(C(=O)C1=C2O)C(OC)=CC=C3"
"FDAapprovedDrugs","methyl 7-[(1R,2R,3R)-3-hydroxy-2-[(1E)-4-hydroxy-4-methyloct-1-en-1-yl]-5-oxocyclopentyl]heptanoate","CCCCC(C)(O)C\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC"
"FDAapprovedDrugs","(5Z)-7-[(1R,2R,3R)-3-hydroxy-2-[(1E,3S)-3-hydroxyoct-1-en-1-yl]-5-oxocyclopentyl]hept-5-enoic acid","CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O"
"FDAapprovedDrugs","7-[(1R,2R,3R)-3-hydroxy-2-[(3S)-3-hydroxyoct-1-en-1-yl]-5-oxocyclopentyl]heptanoic acid","CCCCC[C@H](O)C=C[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O"
"FDAapprovedDrugs","(8Z,11Z,14Z)-icosa-8,11,14-trienoic acid","CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O"
"FDAapprovedDrugs","5-butyl-5-ethyl-1,3-diazinane-2,4,6-trione","CCCCC1(CC)C(=O)NC(=O)NC1=O"
"FDAapprovedDrugs","(2-{4-[(2-butyl-1-benzofuran-3-yl)carbonyl]-2,6-diiodophenoxy}ethyl)diethylamine","CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1"
"FDAapprovedDrugs","[2-butyl-4-chloro-1-({4-[2-(2H-1,2,3,4-tetrazol-5-yl)phenyl]phenyl}methyl)-1H-imidazol-5-yl]methanol","CCCCC1=NC(Cl)=C(CO)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1"
"FDAapprovedDrugs","4-({2-butyl-5-[(1E)-2-carboxy-2-(thiophen-2-ylmethyl)eth-1-en-1-yl]-1H-imidazol-1-yl}methyl)benzoic acid,CCCCC1=NC=C(\C=C(/CC2=CC=CS2)C(O)=O)N1CC1=CC=C(C=C1)C(O)=O"
